metric,value
pair_manifest_rows,2707
generated_rows,2707
wav_count,2707
unique_patient_count,71
split_counts,"{""dev"":273,""test"":275,""train"":2159}"
zero_shot_bucket_counts,"{""easy"":1367,""medium"":764,""hard"":576}"
error_count,0
warning_count,0
expected_sample_rate,16000
target_rms_dbfs,-23.0
duration_min_sec,0.920000
duration_p01_sec,1.940000
duration_p05_sec,2.560000
duration_mean_sec,4.750846
duration_median_sec,4.800000
duration_p95_sec,7.140000
duration_p99_sec,8.396400
duration_max_sec,10.700000
rms_min_dbfs,-23.000015
rms_mean_dbfs,-23.000000
rms_max_dbfs,-22.999983
peak_min,0.268463
peak_mean,0.453618
peak_max,0.955048
generation_seconds_min,2.835000
generation_seconds_mean,5.768350
generation_seconds_max,8.887000
private_qa_root,/data/qwen3-asr/synthesis/dsi_v1/pair_data_v1_cosyvoice3_tts_setting_v1/qa_step_a
private_listening_samples,/data/qwen3-asr/synthesis/dsi_v1/pair_data_v1_cosyvoice3_tts_setting_v1/qa_step_a/listening_samples.csv
