metric,value
feature_manifest,/data/qwen3-asr/synthesis/dsi_v1/residual_features_v1_hubert_chinese/feature_manifest.csv
manifest_rows,2707
audited_tensor_rows,32
sample_limit,32
manifest_status_counts,"{""generated"":2707}"
split_counts,"{""dev"":273,""test"":275,""train"":2159}"
zero_shot_bucket_counts,"{""easy"":1367,""hard"":576,""medium"":764}"
unique_patient_count,71
dev_patient_count,61
test_patient_count,43
dev_patients_not_in_train,0
test_patients_not_in_train,0
issue_count,0
error_count,0
warning_count,0
residual_l1_mean_min,3.026716
residual_l1_mean_mean,3.815537
residual_l1_mean_max,5.008552
dtw_norm_cost_min,0.241036
dtw_norm_cost_mean,0.383624
dtw_norm_cost_max,0.564714
aligned_frames_min,81
aligned_frames_mean,228.031250
aligned_frames_max,369
