metric,value
run_name,smoke_overfit_32
remote_output_root,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v1_hubert_chinese/smoke_overfit_32
feature_manifest,/data/qwen3-asr/synthesis/dsi_v1/residual_features_v1_hubert_chinese/feature_manifest.csv
seed,20260615
device,cuda
train_rows,32
dev_rows,32
overfit_n,32
batch_size,4
epochs_requested,80
epochs_completed,50
max_steps,400
steps_completed,400
lr,0.001
weight_decay,0.0001
hidden_dim,256
num_layers,4
dropout,0.05
smooth_weight,0.1
grad_clip,1.0
elapsed_seconds,861.071507
initial_train_loss,4.038872
initial_train_residual_l1,3.887165
initial_train_smooth_l1,1.517077
initial_prediction_abs_mean,0.456600
target_abs_mean,3.832671
best_step,400
best_epoch,50
best_train_loss,1.295323
best_train_residual_l1,1.185420
best_train_smooth_l1,1.099037
best_prediction_abs_mean,3.515916
best_dev_residual_l1,1.185420
relative_residual_l1_reduction,0.695043
best_checkpoint_private_path,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v1_hubert_chinese/smoke_overfit_32/best_dev.pt
