metric,value
run_name,step_d_demo_gl_v1
remote_output_root,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v1_hubert_chinese/step_d_demo_gl_v1
local_private_artifact_root,/Users/wuguocheng/Documents/Codex/2026-06-08/devbox-qwen-qwen3-asr-1-7b/artifacts/step_d_demo_gl_v1
feature_manifest,/data/qwen3-asr/synthesis/dsi_v1/residual_features_v1_hubert_chinese/feature_manifest.csv
checkpoint_private_path,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v1_hubert_chinese/train_dev_v1_h256_l4_lr1e3_bs8_epoch20/best_dev.pt
demo_rows,4
split_counts,"{""dev"":2,""test"":2}"
zero_shot_bucket_counts,"{""easy"":1,""medium"":2,""hard"":1}"
diagnostic_inversion,librosa_mel_to_audio_griffinlim
griffinlim_iters,64
sample_rate,16000
diagnostic_wav_count,12
reference_wav_count,8
prediction_pt_count,4
avg_baseline_l1_norm_to_target,3.560273
avg_pred_l1_to_target,1.860956
avg_relative_l1_gain,0.473916
pred_gl_duration_seconds_min,3.720000
pred_gl_duration_seconds_max,5.320000
pred_gl_rms_min,0.060701
pred_gl_rms_mean,0.069076
pred_gl_rms_max,0.077365
diagnostic_note,Griffin-Lim output is for mel sanity checking only and should not be read as final vocoder quality.
