metric,value
status,completed
remote_output_root,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v2_cosyvoice3_mel/step_e1_demo_hift_none_v1
local_triplet_root,/Users/wuguocheng/Documents/Codex/2026-06-08/devbox-qwen-qwen3-asr-1-7b/artifacts/step_e1_demo_hift_none_v1_listen_triplets
feature_manifest,/data/qwen3-asr/synthesis/dsi_v1/residual_features_v2_cosyvoice3_mel/feature_manifest.csv
checkpoint_private_path,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v2_cosyvoice3_mel/train_dev_v1_h256_l4_lr1e3_bs8_epoch20/best_dev.pt
sample_count,12
triplet_count,12
hift_wav_count,36
calibration,none
vocoder,CosyVoice3_CausalHiFTGenerator
prediction_export_summary,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v2_cosyvoice3_mel/step_e1_demo_hift_none_v1/prediction_export/step_d_demo_summary.csv
hift_summary,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v2_cosyvoice3_mel/step_e1_demo_hift_none_v1/hift_vocode/hift_vocoder_summary.csv
listen_triplets_index,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v2_cosyvoice3_mel/step_e1_demo_hift_none_v1/listen_triplets/listen_triplets_index.csv
mean_baseline_l1_norm_to_target,2.195493
mean_pred_l1_to_target,0.830757
mean_residual_l1,0.830747
mean_relative_l1_gain,0.611711
mean_norm_mel_hift_rms,0.070453
mean_pred_mel_hift_rms,0.045270
mean_target_mel_hift_rms,0.084710
mean_hift_duration_seconds,4.997
missing_triplet_files,0
