final,segment_count,sample_count,patient_count,frame_count,mean_norm_error_l1,median_norm_error_l1,mean_pred_error_l1,median_pred_error_l1,mean_target_residual_l1,median_target_residual_l1,mean_pred_residual_l1,median_pred_residual_l1,mean_relative_l1_gain,median_relative_l1_gain,mean_gap_ratio,median_gap_ratio,mean_residual_scale_ratio,median_residual_scale_ratio,mean_low_band_gap_l1,median_low_band_gap_l1,mean_mid_band_gap_l1,median_mid_band_gap_l1,mean_high_band_gap_l1,median_high_band_gap_l1,mean_temporal_delta_gap_l1,median_temporal_delta_gap_l1
un,73,73,60,1578,2.000986,1.715107,0.882530,0.780496,2.000986,1.715107,1.727429,1.511217,0.511622,0.552703,0.488378,0.447297,0.879465,0.872966,0.963545,0.927784,0.843164,0.707954,0.839278,0.706232,0.410526,0.391445
ap,43,43,33,729,1.682138,1.576676,0.796271,0.695172,1.682138,1.576676,1.454186,1.333357,0.515356,0.567686,0.484644,0.432314,0.866934,0.863098,0.854951,0.737832,0.804710,0.722492,0.726572,0.630484,0.447994,0.433897
eot,80,40,31,1427,1.926096,1.842791,0.879837,0.776965,1.926096,1.842791,1.616925,1.507411,0.521835,0.549422,0.478165,0.450578,0.852576,0.853121,0.893285,0.741985,0.917830,0.776643,0.826416,0.690338,0.402512,0.388329
oe,46,46,33,934,1.853123,1.702897,0.858360,0.858561,1.853123,1.702897,1.627204,1.489081,0.521872,0.518294,0.478128,0.481706,0.876300,0.876491,0.953727,0.902644,0.849460,0.791636,0.768567,0.761361,0.396283,0.379596
au,260,173,35,4956,1.893518,1.793594,0.822156,0.763370,1.893518,1.793594,1.706190,1.558606,0.536795,0.574441,0.463205,0.425559,0.899922,0.897973,0.881542,0.810928,0.815960,0.694890,0.766921,0.700645,0.412653,0.406341
eoi,163,163,34,3328,1.959631,1.781145,0.852730,0.774343,1.959631,1.781145,1.727379,1.578319,0.537915,0.551109,0.462085,0.448891,0.878791,0.877095,0.934398,0.837462,0.852711,0.763234,0.767940,0.702431,0.387048,0.383346
aap,43,43,33,730,1.779018,1.716888,0.810060,0.747827,1.779018,1.716888,1.556299,1.515903,0.538986,0.578630,0.461014,0.421370,0.879623,0.886266,0.878966,0.802079,0.791536,0.695340,0.757740,0.681915,0.436840,0.425012
ing,112,112,32,2061,1.949067,1.845268,0.819410,0.738728,1.949067,1.845268,1.730551,1.569514,0.542642,0.571411,0.457358,0.428589,0.896929,0.895154,0.882813,0.790194,0.838312,0.760982,0.733940,0.682807,0.390973,0.376618
im,40,40,32,809,2.279487,1.947644,0.988684,0.755963,2.279487,1.947644,2.007685,1.827107,0.543279,0.600167,0.456721,0.399833,0.896288,0.879714,1.116540,0.827693,0.946489,0.690310,0.899727,0.708573,0.386666,0.380501
i,199,199,34,3795,1.947174,1.806679,0.826476,0.772661,1.947174,1.806679,1.759646,1.647839,0.544283,0.578750,0.455717,0.421250,0.907599,0.902868,0.860483,0.773369,0.850276,0.785671,0.766445,0.705074,0.397394,0.390654
aan,167,167,42,3439,2.170590,1.874751,0.876390,0.783275,2.170590,1.874751,1.963006,1.621609,0.548789,0.571769,0.451211,0.428231,0.899903,0.894785,0.960773,0.836039,0.874183,0.747617,0.791054,0.695273,0.383213,0.367492
u,40,40,31,924,1.873141,1.862135,0.817535,0.762120,1.873141,1.862135,1.717680,1.664172,0.552262,0.560945,0.447738,0.439055,0.924927,0.915110,0.902407,0.836203,0.800258,0.720016,0.747338,0.714991,0.378231,0.358690
