initial,segment_count,sample_count,patient_count,frame_count,mean_norm_error_l1,median_norm_error_l1,mean_pred_error_l1,median_pred_error_l1,mean_target_residual_l1,median_target_residual_l1,mean_pred_residual_l1,median_pred_residual_l1,mean_relative_l1_gain,median_relative_l1_gain,mean_gap_ratio,median_gap_ratio,mean_residual_scale_ratio,median_residual_scale_ratio,mean_low_band_gap_l1,median_low_band_gap_l1,mean_mid_band_gap_l1,median_mid_band_gap_l1,mean_high_band_gap_l1,median_high_band_gap_l1,mean_temporal_delta_gap_l1,median_temporal_delta_gap_l1
c,170,169,36,3350,1.960242,1.780290,0.865581,0.789966,1.960242,1.780290,1.724251,1.579140,0.521896,0.564689,0.478104,0.435311,0.885905,0.887236,0.924012,0.797326,0.878343,0.762719,0.791648,0.708233,0.401317,0.395783
s,615,252,35,11448,1.979366,1.850173,0.836107,0.744577,1.979366,1.850173,1.764909,1.632679,0.549734,0.578130,0.450266,0.421870,0.895044,0.888328,0.882425,0.760496,0.847156,0.731192,0.776534,0.697515,0.388811,0.380813
h,270,266,43,5231,1.981221,1.781285,0.805979,0.760426,1.981221,1.781285,1.738986,1.529871,0.554111,0.565723,0.445889,0.434277,0.874037,0.878880,0.882625,0.804558,0.798367,0.719144,0.734289,0.680321,0.379102,0.374857
w,202,132,43,4022,2.106976,1.854140,0.843642,0.767520,2.106976,1.854140,1.906476,1.610340,0.556831,0.573084,0.443169,0.426916,0.901852,0.900880,0.915695,0.819232,0.841210,0.747740,0.771343,0.705455,0.392564,0.378632
f,522,242,61,11225,2.032286,1.852578,0.804797,0.740978,2.032286,1.852578,1.831231,1.657086,0.567695,0.596186,0.432305,0.403814,0.902102,0.895816,0.873499,0.787233,0.799574,0.704670,0.738876,0.674112,0.382601,0.371476
p,210,53,42,4511,2.245390,1.883086,0.848467,0.777138,2.245390,1.883086,1.976864,1.589498,0.568961,0.586551,0.431039,0.413449,0.879068,0.874016,0.940208,0.853901,0.835791,0.736018,0.766360,0.689053,0.377438,0.368326
d,346,165,36,6990,2.122135,1.943539,0.842958,0.789023,2.122135,1.943539,1.875441,1.705764,0.569549,0.587199,0.430451,0.412801,0.883607,0.892123,0.907136,0.843287,0.841244,0.759516,0.778091,0.700029,0.385411,0.380234
ng,100,100,42,2109,2.139089,1.982007,0.843572,0.786920,2.139089,1.982007,1.859944,1.695958,0.571404,0.595298,0.428596,0.404702,0.867076,0.871386,0.943971,0.847167,0.822924,0.720853,0.760754,0.701614,0.378751,0.367393
g,871,338,37,17122,2.165142,1.959900,0.816476,0.759658,2.165142,1.959900,1.970480,1.781811,0.582178,0.605836,0.417822,0.394164,0.909090,0.897385,0.892798,0.815489,0.813472,0.725240,0.740338,0.676979,0.385076,0.382395
z,889,259,37,16245,2.118184,1.856246,0.776657,0.719208,2.118184,1.856246,1.916783,1.648514,0.586723,0.598198,0.413277,0.401802,0.896341,0.902157,0.824793,0.757747,0.774343,0.687871,0.729072,0.671746,0.411359,0.403785
t,267,227,42,5464,2.216543,1.997257,0.819511,0.754766,2.216543,1.997257,1.984438,1.761420,0.588275,0.608935,0.411725,0.391065,0.898566,0.893931,0.900241,0.805124,0.826118,0.705275,0.728816,0.688417,0.378691,0.368602
k,87,87,34,1876,2.228016,2.065314,0.791171,0.760509,2.228016,2.065314,2.013384,1.776938,0.599067,0.621613,0.400933,0.378387,0.899563,0.880357,0.852856,0.762709,0.786936,0.704539,0.731510,0.736784,0.382956,0.361590
m,272,271,43,5243,2.246122,1.988248,0.780767,0.717756,2.246122,1.988248,2.023027,1.767706,0.605481,0.613380,0.394519,0.386620,0.898576,0.902961,0.834224,0.760594,0.777454,0.692917,0.728695,0.658608,0.374598,0.367379
l,419,160,34,7639,2.347358,2.031980,0.758662,0.712734,2.347358,2.031980,2.149095,1.832849,0.623272,0.639497,0.376728,0.360503,0.905030,0.898756,0.819494,0.743555,0.771388,0.699067,0.682274,0.631417,0.363430,0.353213
b,614,322,61,12634,2.761490,2.502853,0.860644,0.741881,2.761490,2.502853,2.554356,2.252229,0.636671,0.676119,0.363329,0.323881,0.929311,0.924434,0.965402,0.833479,0.842512,0.695389,0.770685,0.649131,0.394299,0.376806
gw,215,86,34,3798,2.436294,2.066467,0.753251,0.715013,2.436294,2.066467,2.254168,1.889662,0.640482,0.644891,0.359518,0.355109,0.912480,0.907862,0.828684,0.780071,0.707109,0.644178,0.722833,0.679929,0.397734,0.392171
j,202,127,61,4286,2.964718,2.346636,0.820319,0.747112,2.964718,2.346636,2.648490,2.186264,0.656032,0.674605,0.343968,0.325395,0.896547,0.896766,0.884460,0.799534,0.816845,0.715287,0.757317,0.665864,0.358299,0.344429
n,257,209,37,4947,2.922391,2.672476,0.732749,0.644307,2.922391,2.672476,2.767983,2.578874,0.703636,0.750984,0.296364,0.249016,0.945788,0.950621,0.817485,0.691319,0.701393,0.616194,0.677315,0.591357,0.345344,0.330482
zero_initial,130,130,36,2639,3.251647,3.001128,0.699844,0.618406,3.251647,3.001128,3.005516,2.783763,0.749934,0.786395,0.250066,0.213605,0.927437,0.931932,0.772532,0.661614,0.668721,0.565542,0.656682,0.556672,0.322515,0.312595
