metric,value
sample_count,548
segment_count,6658
patient_count,61
jyutping_syllable_count,173
initial_count,19
final_count,45
mean_norm_error_l1,2.272858
median_norm_error_l1,1.974836
mean_pred_error_l1,0.807834
median_pred_error_l1,0.740708
mean_target_residual_l1,2.272858
median_target_residual_l1,1.974836
mean_pred_residual_l1,2.058467
median_pred_residual_l1,1.773583
mean_relative_l1_gain,0.595087
median_relative_l1_gain,0.610616
mean_gap_ratio,0.404913
median_gap_ratio,0.389384
mean_residual_scale_ratio,0.902544
median_residual_scale_ratio,0.899598
mean_low_band_gap_l1,0.877222
median_low_band_gap_l1,0.788732
mean_mid_band_gap_l1,0.802677
median_mid_band_gap_l1,0.705162
mean_high_band_gap_l1,0.741132
median_high_band_gap_l1,0.672230
mean_temporal_delta_gap_l1,0.384435
median_temporal_delta_gap_l1,0.375031
