metric,value
run_name,step_e_demo_hift_global_v1
remote_output_root,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v1_hubert_chinese/step_e_demo_hift_global_v1
local_private_artifact_root,/Users/wuguocheng/Documents/Codex/2026-06-08/devbox-qwen-qwen3-asr-1-7b/artifacts/step_e_demo_hift_global_v1
prediction_dir,/data/qwen3-asr/synthesis/dsi_v1/residual_generator_v1_hubert_chinese/step_d_demo_gl_v1/predictions
feature_manifest,/data/qwen3-asr/synthesis/dsi_v1/residual_features_v1_hubert_chinese/feature_manifest.csv
vocoder,CosyVoice3_CausalHiFTGenerator
cosyvoice_config,/data/qwen3-asr/models/tts/Fun-CosyVoice3-0.5B-2512/cosyvoice3.yaml
hift_checkpoint,/data/qwen3-asr/models/tts/Fun-CosyVoice3-0.5B-2512/hift.pt
sample_rate,24000
calibration,global
demo_rows,4
split_counts,"{""dev"":2,""test"":2}"
zero_shot_bucket_counts,"{""easy"":1,""medium"":2,""hard"":1}"
wav_count,12
reference_wav_count,8
norm_hift_peak_mean,0.610885
norm_hift_peak_max,0.665502
norm_hift_rms_mean,0.071468
target_hift_peak_mean,0.662820
target_hift_peak_max,0.990000
target_hift_rms_mean,0.068879
pred_hift_peak_mean,0.562667
pred_hift_peak_max,0.845345
pred_hift_rms_mean,0.056658
pred_hift_duration_seconds_min,3.740000
pred_hift_duration_seconds_max,5.340000
compatibility_note,Step B mel is 16k torchaudio log-power mel while HiFT expects CosyVoice3 24k log-magnitude mel; current demo uses normal-side global mean/std calibration.
